enc	genome
3,a,2728	(1,4,{1,3},{},[C_3⊕1,S_1,S_10,S_13,S_16,S_6,S_8,S_9])
2,a,13	(1,4,{1,3},{},[C_3⊕1,S_10,S_11,S_13,S_19,S_6,S_8])
a,22738	(1,4,{1,3},{},[C_3⊕1,S_10,S_11,S_13,S_19,S_6,S_8])
3,227a8	(1,4,{1,3},{},[C_3⊕1,S_10,S_13,S_14,S_5,S_7])
a,225	(1,4,{1,3},{},[C_3⊕1,S_10,S_13,S_6,S_8])
a,122	(1,4,{1,3},{},[C_3⊕1,S_11,S_19,S_6,S_8])
273a38	(1,4,{1,3},{},[C_3⊕1,S_13,S_6,S_7,S_9])
13a3	(1,4,{1},{},[C_3⊕1,S_1,S_6,S_9])
1,1,a	(1,4,{1},{},[C_3⊕1,S_6,S_8])
1,5,a	(1,4,{1},{},[C_3⊕1,S_6,S_8])
1,a,23	(1,4,{1},{},[C_3⊕1,S_6,S_8])
2,2,23a	(2,1,{0,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),C_3⊕1,S_14,S_18,S_1⊕1])
2,2,27a8	(2,1,{0,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),C_3⊕1,S_14,S_18,S_1⊕1])
2,2,37a8	(2,1,{0,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),C_3⊕1,S_18,S_1⊕1,S_7])
2,2,5a	(2,1,{0,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),C_3⊕1,S_18,S_1⊕1,S_7])
2,227a8	(2,1,{0,2,3},{},[C_3⊕1,S_14,S_18,S_1⊕1,S_7])
2227a8	(2,1,{0,2,3},{},[C_3⊕1,S_14,S_1⊕1,S_7])
AB|2A7a8B	(2,1,{0,2,3},{},[C_3⊕1,S_14,S_1⊕1,S_7])
2,2,22a	(2,1,{0,2},{},[(0,2,{0,1},{},[S_1⊕1]),C_3⊕1,S_14,S_1⊕1])
2,222a	(2,1,{0,2},{},[C_3⊕1,S_14,S_1⊕1])
2222a	(2,1,{0,2},{},[C_3⊕1,S_14,S_1⊕1])
AB|2A2Ba	(2,1,{0,2},{},[C_3⊕1,S_14,S_1⊕1])
2,2,1a	(2,1,{0,3},{},[(0,2,{0,1},{},[S_1⊕1]),C_3⊕1,S_18,S_1⊕1,S_7])
Aa|1,2,A	(2,1,{0},{0},[C_3⊕1,C_4])
2,a,222	(2,1,{2},{},[C_3⊕1,S_1⊕1,S_6])
AB|a,2A2B	(2,1,{2},{},[C_3⊕1,S_1⊕1,S_6])
a,2222	(2,1,{2},{},[C_3⊕1,S_1⊕1,S_6])
Aa|2,2,2A	(2,2,{0},{0,1},[C_3⊕1])
Aa|2,2,3A	(2,2,{0},{0,1},[C_3⊕1])
ABa|2A2B	(2,2,{0},{1},[C_3⊕1,S_1⊕1])
Aa|222A	(2,3,{0},{0,1},[C_3⊕1,C_4])
AB|Ca|2ACB	(2,3,{2},{0,1},[C_3,C_3⊕1,C_4])
1,2,2,a	(2,3,{2},{},[C_3⊕1,S_1,S_1⊕1,S_6])
2,2,5,a	(2,3,{2},{},[C_3⊕1,S_1,S_1⊕1,S_6])
2,2a,33	(2,4,{0,1,2,3},{},[(0,1,{0,2},{},[S_1⊕1]),(0,2,{0,1},{},[S_1⊕1]),S_1,S_1⊕1,S_7])
2,23,2a	(2,4,{0,1,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),S_1,S_18,S_1⊕1,S_7])
1,2,2a	(2,4,{0,1,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),S_1,S_18,S_1⊕1])
2,5,2a	(2,4,{0,1,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),S_1,S_1⊕1,S_7])
237a83	(2,4,{1,2,3},{},[C_3⊕1,S_1⊕1,S_7,S_9])
2a,222	(2,4,{2,3},{},[S_1,S_1⊕1,S_7])
3A|4,Aa	(3,0,{3},{},[C_4,S_1,S_10])
2,2,4a	(3,1,{0,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),C_3⊕1,S_14,S_15,S_1⊕1])
237a28	(3,1,{0,2,3},{},[(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),C_3⊕1,S_10,S_11,S_14,S_17,S_1⊕1,S_7])
AB|3A3Ba	(3,1,{0,2,3},{},[(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),C_3⊕1,S_13,S_1⊕1,S_20,S_7,S_9])
277288a	(3,1,{0,2,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_11,S_14,S_15,S_17,S_1⊕1])
2272a8	(3,1,{0,2,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_11,S_14,S_17,S_1⊕1])
AB|2A3aB	(3,1,{0,2,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_13,S_14,S_1⊕1,S_7])
ABC|2ABaC	(3,1,{0,2,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_14,S_15,S_1⊕1])
2748a	(3,1,{0,2,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),S_11,S_14,S_15,S_17,S_1⊕1])
2,2728a	(3,1,{0,2,3},{},[C_3⊕1,S_11,S_14,S_15,S_17,S_1⊕1])
22728a	(3,1,{0,2,3},{},[C_3⊕1,S_11,S_14,S_15,S_17,S_1⊕1])
2,223a	(3,1,{0,2,3},{},[C_3⊕1,S_13,S_14,S_18,S_1⊕1,S_7])
2223a	(3,1,{0,2,3},{},[C_3⊕1,S_13,S_14,S_1⊕1,S_7])
2,24a	(3,1,{0,2,3},{},[C_3⊕1,S_14,S_15,S_1⊕1])
224a	(3,1,{0,2,3},{},[C_3⊕1,S_14,S_15,S_1⊕1])
AB|2,2AaB	(3,1,{0,2},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_14,S_1⊕1])
AB|22AaB	(3,1,{0,2},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_14,S_1⊕1])
2777a888	(3,1,{0,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_11,S_17,S_1⊕1,S_7,S_9])
ABC|3ABaC	(3,1,{0,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_13,S_15,S_1⊕1,S_20])
3ABC|ABCa	(3,1,{0,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_10,S_11,S_1⊕1])
3ABC|ACBa	(3,1,{0,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_10,S_11,S_1⊕1])
27728a8	(3,1,{0,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_11,S_14,S_15,S_17,S_1⊕1])
36a	(3,1,{0,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),S_11,S_13,S_15,S_1⊕1,S_7])
AB|2,3AaB	(3,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_14,S_15,S_1⊕1,S_20])
2372a8	(3,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_14,S_16,S_17,S_1⊕1,S_20])
AB|23AaB	(3,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_14,S_1⊕1,S_20])
3AB|2AaB	(3,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_1⊕1])
2,6a	(3,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_14,S_15,S_1⊕1])
AB|27AaB8	(3,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_14,S_15,S_1⊕1])
AB|4AaB	(3,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_4,S_11,S_14,S_1⊕1])
AB|3A7a8B	(3,1,{0,3},{},[(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_1⊕1,S_20,S_7])
2727a88	(3,1,{0,3},{},[(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_11,S_14,S_15,S_17,S_1⊕1,S_7])
44a	(3,1,{0,3},{},[C_3⊕1,C_4,S_14,S_15,S_1⊕1])
2,237a8	(3,1,{0,3},{},[C_3⊕1,S_10,S_13,S_14,S_18,S_1⊕1,S_20,S_7,S_9])
23728a	(3,1,{0,3},{},[C_3⊕1,S_10,S_14,S_15,S_16,S_17,S_1⊕1,S_20])
234a	(3,1,{0,3},{},[C_3⊕1,S_10,S_14,S_15,S_1⊕1,S_20])
AB|2A3Ba	(3,1,{0,3},{},[C_3⊕1,S_10,S_14,S_15,S_1⊕1,S_20])
2,232a	(3,1,{0,3},{},[C_3⊕1,S_10,S_14,S_1⊕1,S_20])
2232a	(3,1,{0,3},{},[C_3⊕1,S_10,S_14,S_1⊕1,S_20])
2327a8	(3,1,{0,3},{},[C_3⊕1,S_10,S_1⊕1,S_20,S_7])
2,273a8	(3,1,{0,3},{},[C_3⊕1,S_11,S_13,S_14,S_15,S_17,S_18,S_1⊕1,S_7,S_9])
23a728	(3,1,{0,3},{},[C_3⊕1,S_11,S_13,S_17,S_1⊕1,S_7,S_9])
2,277a88	(3,1,{0,3},{},[C_3⊕1,S_11,S_14,S_15,S_17,S_18,S_1⊕1,S_7,S_9])
274a8	(3,1,{0,3},{},[C_3⊕1,S_11,S_14,S_15,S_17,S_1⊕1])
247a8	(3,1,{0,3},{},[C_3⊕1,S_11,S_14,S_15,S_1⊕1,S_7])
27283a	(3,1,{0,3},{},[C_3⊕1,S_13,S_14,S_15,S_17,S_1⊕1,S_7,S_9])
2,34a	(3,1,{0,3},{},[C_3⊕1,S_13,S_14,S_15,S_18,S_1⊕1,S_7])
23a4	(3,1,{0,3},{},[C_3⊕1,S_13,S_15,S_1⊕1,S_7])
2,47a8	(3,1,{0,3},{},[C_3⊕1,S_14,S_15,S_18,S_1⊕1,S_7])
27282a	(3,1,{0,3},{},[C_3⊕1,S_14,S_15,S_1⊕1])
4,4a	(3,1,{0,3},{},[C_4,S_10,S_11,S_15,S_17])
4,22a	(3,1,{0,3},{},[S_10,S_11,S_14,S_17,S_1⊕1])
4,23a	(3,1,{0,3},{},[S_10,S_11,S_17,S_18,S_1⊕1,S_9])
