count,genome
133,"S_14"
132,"(1,0,{1},{},[S_1,S_12,S_23,S_3⊕1])"
132,"(1,2,{1},{},[S_1,S_15,S_22,S_23,S_2⊕1,S_8])"
132,"(1,4,{1,3},{},[S_1,S_12,S_14,S_2⊕1,S_4,S_6,S_8,S_9])"
132,"(3,1,{3},{},[S_1⊕1,S_22,S_2⊕1,S_4,S_5,S_8,S_9])"
131,"(3,1,{0,3},{},[S_12,S_13,S_18,S_1⊕1,S_4,S_5])"
131,"(3,3,{0},{0,1,2},[S_2⊕1,S_3,S_5])"
130,"(1,2,{1,3},{},[S_1,S_11,S_12,S_15,S_2⊕1,S_3⊕1])"
130,"(1,4,{3},{},[(2,2,{0},{1}),(2,3,{0},{0,1}),(3,3,{0},{0,1}),S_1,S_12,S_23,S_27,S_2⊕1,S_3⊕1,S_5⊕1])"
130,"(3,1,{0},{2},[S_2⊕1,S_3])"
129,"(1,0,{1,3},{},[(2,3,{0},{0,1}),(3,1,{0,2,3},{}),S_1,S_12,S_12⊕2,S_21,S_5⊕1,S_6])"
129,"(2,3,{1,2},{},[S_1,S_1⊕1,S_2⊕1,S_9])"
129,"(3,2,{0,1,3},{},[S_1,S_14,S_1⊕1,S_2⊕1,S_3⊕1,S_8])"
128,"(1,0,{1},{},[(3,3,{0},{0,1,2}),S_1,S_12,S_23,S_27,S_30,S_3⊕1,S_5⊕1])"
128,"(1,2,{1,3},{},[S_1,S_12,S_14,S_2⊕1,S_3⊕1])"
128,"(1,4,{1},{},[S_1,S_22,S_23,S_2⊕1,S_9])"
127,"(1,0,{1},{},[(2,2,{0},{1}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{0},{0,1,2}),S_1,S_12,S_12⊕2,S_27,S_6,S_9])"
127,"(1,2,{0,1,3},{},[S_12,S_21,S_2⊕1,S_6,S_8])"
127,"(3,2,{3},{0},[S_1,S_15,S_1⊕1,S_3⊕1,S_5])"
126,"(1,0,{1,3},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_12⊕2,S_18,S_21])"
126,"(1,0,{1,3},{},[S_1,S_12,S_14,S_21,S_23,S_6,S_8])"
126,"(2,1,{0,2,3},{},[S_11,S_12,S_1⊕1,S_21,S_2⊕1,S_7])"
125,"(1,1,{3},{0,3},[(2,3,{0},{0,1}),S_23,S_2⊕1])"
125,"(1,2,{0,1,3},{},[S_1,S_14,S_2⊕1,S_3⊕1])"
125,"(3,1,{3},{},[S_12,S_16,S_1⊕1,S_21,S_23,S_2⊕1,S_5,S_8])"
124,"(1,0,{1,3},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_12⊕2,S_6])"
124,"(1,4,{1},{},[(2,2,{0},{1}),(3,1,{0},{0,2}),(3,3,{2},{0,2}),S_1,S_12,S_19,S_27,S_30,S_3⊕1,S_5⊕1])"
124,"(3,1,{3},{},[S_12,S_15,S_18,S_1⊕1,S_2⊕1,S_4,S_5,S_8])"
123,"(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_5,S_8])"
123,"(3,2,{3},{0},[S_1,S_1⊕1,S_23,S_2⊕1,S_3⊕1,S_5])"
122,"(1,0,{1,2},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,2,{0,3},{}),(3,3,{2},{0,2}),(3,4,{0,1,3},{}),S_1,S_12,S_6,S_9])"
122,"(1,0,{1,4},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_27,S_6,S_9])"
122,"(1,4,{0,1},{},[S_19,S_21,S_7,S_8])"
122,"(1,4,{1,2},{0},[(2,2,{0},{1}),(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,2,{0},{0,1}),(3,3,{2},{0,2}),S_1,S_12,S_2⊕1])"
122,"(2,1,{0,2,3},{},[S_12,S_1⊕1,S_2⊕1,S_7])"
120,"(2,1,{0,2,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_7])"
119,"(1,0,{1,3},{},[(2,3,{0},{0,1}),S_1,S_12,S_12⊕2,S_6,S_7])"
119,"(1,4,{1,3},{},[S_1,S_15,S_16,S_2⊕1,S_9])"
118,"(1,0,{1},{},[(2,3,{0},{0,1}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_12⊕2,S_14⊕2])"
