enc	genome
Aa|133A	(0,0,{1},{1,3},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(3,1,{0},{0,2},[S_2⊕1,S_3,S_5]),S_2,S_30])
Aa|15A	(0,0,{1},{1,3},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(3,1,{0},{0,2},[S_2⊕1,S_3,S_5]),S_30])
Aa|3,5,2A	(0,0,{1},{1,3},[(1,1,{0},{0,2},[S_2⊕1]),(3,3,{2},{0,2},[S_2,S_2⊕1]),S_2])
Aa|11A	(0,0,{1},{3},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(3,3,{0},{1,2},[S_2⊕1,S_3])])
a,377588	(0,0,{2,4},{},[(1,2,{1,3},{},[S_11,S_12,S_22,S_23,S_2⊕1,S_4,S_5,S_8]),(1,2,{1,3},{},[S_12,S_22,S_23,S_2⊕1,S_4,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_19,S_22,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2},{},[S_12,S_19,S_22,S_2⊕1,S_4,S_8]),(3,1,{0},{0},[S_15,S_1⊕1,S_23,S_2⊕1]),(3,1,{2,3},{},[S_12,S_1⊕1,S_22,S_2⊕1,S_4]),(3,1,{3},{},[S_11,S_1⊕1,S_22,S_2⊕1,S_4,S_5,S_8]),(3,1,{3},{},[S_11,S_1⊕1,S_2⊕1,S_5,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_22,S_3⊕1,S_5,S_8]),(3,2,{1,3},{},[S_1⊕1,S_22,S_2⊕1,S_4,S_5,S_8]),S_2,S_4⊕1,S_5⊕1])
123a3	(0,0,{2},{},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,1,{3},{},[S_12,S_2⊕1,S_4,S_9]),(1,1,{3},{},[S_12,S_4,S_5,S_9]),(1,2,{1,3},{},[S_12,S_18,S_2⊕1,S_6]),(1,2,{1,3},{},[S_12,S_5,S_6]),(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4]),S_28,S_4⊕1])
11,3a	(0,0,{2},{},[(1,2,{0,1,3},{},[S_12,S_13,S_15,S_2⊕1,S_6]),(1,2,{1,3},{},[S_1,S_12,S_22,S_4]),(1,2,{1},{},[S_11,S_22,S_2⊕1]),(1,2,{3},{},[S_1,S_11,S_15,S_4]),S_4⊕1])
a,5758	(0,0,{4},{},[(1,2,{1,3},{},[S_12,S_22,S_23,S_2⊕1,S_4,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_4,S_5,S_8]),(1,4,{1,2},{},[S_12,S_19,S_22,S_2⊕1,S_4,S_8]),(3,1,{0},{0},[S_15,S_1⊕1,S_23,S_2⊕1]),(3,1,{2,3},{},[S_12,S_1⊕1,S_22,S_2⊕1,S_4]),(3,2,{1,3},{},[S_1,S_1⊕1,S_22,S_3⊕1,S_5,S_8]),S_2,S_4⊕1])
0,3,3a	(0,1,{0,2},{},[(1,0,{1,3},{},[S_1,S_12,S_23,S_6,S_8]),(1,0,{1},{},[S_1,S_12,S_22,S_23]),(1,0,{1},{},[S_1,S_12]),(1,0,{1},{},[S_1,S_8]),(1,2,{1,3},{},[S_1,S_12,S_22,S_4]),(1,2,{1,3},{},[S_1,S_12,S_4,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_8])])
0,3,2a	(0,1,{0,2},{},[(1,0,{1,3},{},[S_1,S_12,S_23,S_6,S_8]),(1,0,{1},{},[S_1,S_8]),(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_6,S_8]),(3,2,{3},{},[S_1,S_1⊕1,S_8])])
AB|AC|BDE|DCEa	(0,1,{0,3},{},[S_16,S_4,S_5,S_8])
